,item,other_cropland_farms_2002,other_cropland_acres_2002,not_pastured_or_grazed_see_text_farms_2002,not_pastured_or_grazed_see_text_acres_2002,cropland_on_which_all_crops_failed_farms_2002,cropland_on_which_all_crops_failed_acres_2002,cropland_in_cultivated_summer_fallow_farms_2002,cropland_in_cultivated_summer_fallow_acres_2007,cropland_in_cultivated_summer_fallow_acres_2002,total_woodland_farms_2007,total_woodland_farms_2002,total_woodland_acres_2007,total_woodland_acres_2002,woodland_pastured_farms_2007,woodland_pastured_farms_2002,woodland_pastured_acres_2007,woodland_pastured_acres_2002,woodland_not_pastured_farms_2007
2,anderson,80,2457.0,72,2364.0,14,93.0,,,,326,369,10799,12974,161.0,192,2891.0,3790.0,241
3,bedford,215,6312.0,191,5373.0,37,,1.0,,,836,859,36152,38296,586.0,610,20856.0,22449.0,391
4,benton,173,6961.0,167,6895.0,13,66.0,,,,298,346,17270,19621,119.0,175,3164.0,5589.0,238
5,bledsoe,91,4960.0,84,4771.0,11,189.0,,,,319,318,17045,21127,205.0,182,5456.0,6505.0,189
6,blount,163,2558.0,143,2234.0,28,,2.0,6.0,,596,712,15338,17460,380.0,424,6929.0,8212.0,341
7,bradley,90,2385.0,80,2229.0,13,156.0,,,,455,473,19111,23121,246.0,283,7528.0,7998.0,287
8,campbell,73,1091.0,63,698.0,22,393.0,,,,254,245,6483,8297,169.0,160,2568.0,4235.0,153
15,cannon,104,2784.0,87,2438.0,26,346.0,,,,531,567,30212,30387,344.0,387,19024.0,17462.0,271
16,carroll,342,15229.0,330,14790.0,19,439.0,,,,534,576,32398,36829,211.0,288,6152.0,8978.0,419
17,carter,71,1010.0,68,972.0,7,38.0,,,,327,331,9312,10987,212.0,196,4836.0,3897.0,174
19,cheatham,169,6034.0,152,5671.0,28,363.0,,,,336,381,14182,16903,179.0,185,4470.0,5460.0,227
20,chester,208,10180.0,195,9848.0,21,332.0,,,,263,300,19332,18628,94.0,132,3730.0,3569.0,219
21,claiborne,289,7578.0,259,7003.0,56,,2.0,,,739,911,30825,37872,478.0,552,12726.0,12893.0,427
22,clay,69,1551.0,62,1477.0,9,,2.0,,,273,340,23515,24653,150.0,201,8960.0,10313.0,183
24,cocke,169,3372.0,137,2954.0,52,418.0,,,,447,556,16043,20171,244.0,308,4959.0,6417.0,307
29,coffee,183,5919.0,136,4960.0,57,,2.0,,,551,616,22774,24493,301.0,306,7850.0,9376.0,361
30,crockett,142,8561.0,136,7946.0,15,615.0,,,,133,114,5444,5194,56.0,56,1449.0,827.0,89
31,cumberland,117,4761.0,103,4020.0,16,,1.0,,,485,542,36162,33117,274.0,318,12798.0,9280.0,327
32,davidson,77,2452.0,67,2302.0,15,150.0,,,,263,260,10540,11981,139.0,161,4354.0,5875.0,154
33,decatur,126,5690.0,115,5278.0,16,412.0,,,,271,315,21603,28411,130.0,169,6836.0,8738.0,202
34,dekalb,125,3752.0,113,3564.0,18,188.0,,,,394,495,22669,24743,255.0,320,10906.0,12536.0,208
35,dickson,255,6175.0,231,5837.0,37,322.0,3.0,,16.0,801,943,38414,47759,457.0,517,12063.0,15830.0,540
36,dyer,124,8303.0,107,6693.0,25,1610.0,,,,121,119,5442,7226,40.0,50,1441.0,2169.0,93
43,fayette,269,25173.0,262,24264.0,16,893.0,3.0,,16.0,417,424,38560,42380,184.0,180,6864.0,8001.0,291
44,fentress,82,2829.0,73,2140.0,17,689.0,,,,329,316,19613,21720,183.0,177,6986.0,5178.0,198
45,franklin,147,4205.0,122,3267.0,39,938.0,,11.0,,519,507,17387,18161,277.0,255,6369.0,5206.0,312
46,gibson,360,17740.0,339,15932.0,33,1808.0,,,,367,377,11636,12441,132.0,142,2749.0,3535.0,269
47,giles,196,6509.0,163,5945.0,40,564.0,,,,1050,1138,54030,56198,734.0,849,34695.0,35978.0,467
49,grainger,201,3749.0,166,3224.0,58,495.0,11.0,16.0,30.0,613,753,22633,29023,378.0,473,8265.0,10551.0,353
50,greene,510,7267.0,422,5786.0,114,1411.0,18.0,13.0,70.0,1665,1919,35353,40427,987.0,1140,14660.0,16426.0,963
51,grundy,62,1472.0,54,1355.0,12,117.0,,,,186,205,9801,12033,90.0,82,1454.0,1864.0,152
57,hamblen,84,1451.0,58,732.0,27,719.0,,,,350,327,7250,7738,246.0,196,3760.0,3170.0,163
58,hamilton,81,2034.0,72,1779.0,10,255.0,,,,361,394,14480,16643,202.0,187,4200.0,5180.0,236
59,hancock,121,1754.0,112,1634.0,18,120.0,,,,281,386,16454,21836,160.0,209,5639.0,6711.0,188
60,hardeman,198,14473.0,182,13404.0,26,1069.0,,,,373,365,36288,41370,176.0,176,8512.0,9600.0,269
61,hardin,206,12998.0,191,12499.0,26,,1.0,,,330,370,25414,29102,161.0,182,10412.0,9372.0,231
62,hawkins,351,5609.0,282,4907.0,85,690.0,5.0,13.0,12.0,995,1248,41088,48551,541.0,627,12232.0,14834.0,660
63,haywood,145,12916.0,129,11569.0,26,1347.0,,,,145,131,8977,12331,49.0,39,1143.0,1098.0,112
64,henderson,373,17994.0,352,16907.0,38,,1.0,9.0,,611,645,37561,42320,286.0,344,9126.0,12202.0,456
71,henry,356,16465.0,343,15904.0,34,561.0,,,,540,606,32547,36734,253.0,258,7002.0,6898.0,384
72,hickman,99,3281.0,89,3142.0,12,,2.0,,,458,546,37518,39536,224.0,267,10177.0,10973.0,331
73,houston,40,1045.0,39,,1,,1.0,,,234,241,13958,14632,112.0,126,4604.0,3989.0,168
74,humphreys,130,5758.0,115,4402.0,23,1356.0,,,,438,470,37531,46189,203.0,199,8766.0,8938.0,319
75,jackson,111,2662.0,100,2459.0,18,203.0,,,,386,405,27496,32072,264.0,243,12752.0,12439.0,215
76,jefferson,199,5009.0,165,3211.0,36,1784.0,4.0,8.0,14.0,664,729,14032,16550,438.0,447,7130.0,7295.0,325
77,johnson,142,1805.0,140,1705.0,9,100.0,,,,306,383,12568,13063,135.0,177,3827.0,4209.0,216
78,knox,167,2614.0,134,2124.0,36,459.0,6.0,,31.0,578,702,13815,18406,315.0,387,4509.0,5278.0,346
85,lake,15,,15,,2,,,,,4,4,374,136,,1,,,4
87,lauderdale,236,21926.0,217,18003.0,33,3923.0,,,,215,198,13316,12156,76.0,84,3167.0,2412.0,154
88,lawrence,364,14763.0,337,14335.0,32,378.0,6.0,5.0,50.0,1045,1101,46940,51259,645.0,674,18890.0,19599.0,617
89,lewis,50,1773.0,44,1696.0,9,77.0,,,,175,159,12251,12894,84.0,64,3502.0,2220.0,114
91,lincoln,192,8413.0,167,7890.0,40,523.0,,,,996,1082,51333,55759,700.0,753,32527.0,34606.0,441
92,loudon,99,3504.0,87,2567.0,22,,1.0,,,470,547,11846,14232,284.0,311,4330.0,5510.0,283
94,mcminn,142,2950.0,116,2463.0,29,,2.0,,,728,707,26612,27069,444.0,433,11976.0,11965.0,415
95,mcnairy,312,20286.0,294,19067.0,34,,1.0,,,436,445,32325,36688,183.0,188,6316.0,7344.0,333
99,macon,253,6479.0,236,6043.0,25,436.0,,,,682,865,33454,42106,442.0,527,13469.0,18851.0,401
100,madison,263,15772.0,252,13541.0,39,2231.0,,,,332,365,24165,24723,116.0,148,5215.0,5375.0,265
101,marion,29,692.0,25,625.0,5,67.0,,,,202,155,12957,14703,109.0,90,3270.0,2158.0,125
103,marshall,135,3861.0,115,3513.0,22,,1.0,,,628,754,32248,39370,485.0,540,20355.0,24194.0,260
104,maury,204,5885.0,185,5287.0,32,,1.0,,,946,982,39248,46552,650.0,724,23527.0,28377.0,410
105,meigs,64,1618.0,56,1326.0,10,,2.0,,,216,230,11353,14420,128.0,129,4330.0,3957.0,135
107,monroe,138,2978.0,130,2716.0,16,,1.0,,,545,577,17328,18516,353.0,354,9089.0,8145.0,289
108,montgomery,242,9362.0,214,8404.0,39,813.0,6.0,11.0,145.0,499,624,25525,36076,259.0,323,8915.0,14068.0,367
113,moore,57,1376.0,52,1255.0,5,,1.0,,,206,269,10252,13767,159.0,201,7176.0,9748.0,90
115,morgan,66,1507.0,53,1195.0,22,300.0,3.0,,12.0,306,284,16952,18185,175.0,143,4526.0,4471.0,219
117,obion,183,10572.0,168,8661.0,19,1911.0,,,,267,279,13646,18286,116.0,126,3815.0,4411.0,196
118,overton,154,4674.0,137,4384.0,27,274.0,4.0,8.0,16.0,619,644,29184,32221,347.0,347,9649.0,9437.0,408
119,perry,69,2125.0,60,1765.0,12,,1.0,,,178,146,19557,19418,81.0,44,5412.0,2990.0,145
121,pickett,61,1120.0,57,1043.0,8,77.0,,,,191,245,7612,11590,121.0,131,2266.0,2621.0,113
123,polk,39,1470.0,36,1411.0,2,,1.0,,,152,131,5876,6596,88.0,67,1428.0,1258.0,96
125,putnam,186,4362.0,161,4101.0,30,261.0,,,,613,742,28648,32601,305.0,405,9452.0,10410.0,407
127,rhea,76,2731.0,66,2482.0,16,249.0,,,,280,295,13481,14695,160.0,161,3565.0,3673.0,167
129,roane,119,2101.0,101,1810.0,33,,1.0,,,384,472,17466,20314,198.0,211,5222.0,4479.0,282
131,robertson,316,7901.0,295,7273.0,35,613.0,6.0,38.0,15.0,759,805,22414,22988,367.0,384,8317.0,8560.0,509
132,rutherford,207,6393.0,183,5668.0,39,,1.0,,,713,965,33476,46342,489.0,639,19308.0,26067.0,347
133,scott,26,561.0,24,549.0,4,12.0,,,,165,202,12398,14854,72.0,97,2014.0,2470.0,126
135,sequatchie,29,1069.0,26,1066.0,3,3.0,,,,120,129,7302,8149,60.0,47,1515.0,1306.0,81
136,sevier,113,2676.0,97,2302.0,20,368.0,4.0,6.0,6.0,412,489,13548,16359,258.0,295,5873.0,7309.0,237
138,shelby,137,9589.0,118,8981.0,27,608.0,,,,222,212,9572,10048,113.0,97,2608.0,1876.0,138
