,PC1,PC2,PC3
pct_rur_10,-0.026516640830895503,-0.13863620339778543,-0.08568882417948864
pop_10,0.004598062557118079,0.16757979309760163,0.06683791522361686
pop_00,0.0022092437394960174,0.1611600228253773,0.06595848237478152
pop_90,1.8537325969738522e-05,0.15559876565586508,0.06539855979914605
pop_80,-0.0011252884813239212,0.15221382980049977,0.0651656648637994
pop_70,-0.0026399740759336494,0.14721569052816774,0.06560427803664719
hsg_10,0.003582447436661779,0.16739379118099834,0.06457220451245779
hsg_00,0.0016697640379086053,0.16230017415920658,0.06410282353596886
hsg_90,-0.0006095334562188088,0.1568849672979302,0.06439024066852238
hsg_80,-0.0012184164962742519,0.1526861178495694,0.06471030437448853
hsg_70,-0.002217026391811126,0.1487438127051205,0.06564980570530063
lat,-0.0044571501610638,0.004204738915707623,-0.022092675338053057
long,-0.001976728821586566,0.06032403373523686,-0.14060477106370672
ind_dis,-0.015641801737278662,-0.014416808472782339,0.013703320888483939
land_sqmi,0.060116453894932156,0.027470357777109728,0.09348742692858646
pop_den,0.0003669098468897474,0.17761098878362538,0.055151014447538685
hsg_den,-0.0010794983081222594,0.17645838089164456,0.05175996938201839
pct_dpop_00,0.03498798303358283,0.10050036308842236,0.008774174050062597
pct_dpop_90,0.018545943564555092,0.06210077791702358,-0.04041028179521226
pct_dhsg_80,0.03158861100364724,0.10634460487190463,-0.0066097385439461125
pct_dhsg_90,0.027036066451205137,0.09278556366983798,-0.004037768926496466
pct_dhsg_00,0.008978138627080861,0.05691861607894893,-0.07135953750742356
pct_dpop_80,0.022389801303644763,0.10828571558397844,-0.021833251538235926
h_sold_07,0.015565744747930791,0.14763004563951573,0.057037549506187224
h_sold_08,0.013674513719678497,0.17219361375268616,0.07085515666560166
h_sold_09,0.0157086972334597,0.15692352060132111,0.06445281079644465
h_sold_10,0.016141955504313805,0.1664557462941173,0.06852540918261599
h_sold_11,0.014034091344278412,0.15598299949099848,0.06897010753227054
h_sold_12,0.01355399295001925,0.15793812261071968,0.06859833431197551
h_sold_13,0.014543102099993198,0.15936721385643093,0.06832612684306777
h_sold_14,0.011846570187685911,0.15513883337345633,0.059513351547897685
h_sold_15,0.013671842884674023,0.15308469383974266,0.05477424479382385
h_sold_16,0.01381243867761319,0.16290732565648064,0.059052608640146595
med_07,0.008930960510303744,0.10571124807440238,0.025170201387124214
med_08,0.012163876635244736,0.11464888785235251,0.0675122175915889
med_09,0.014543993323198593,0.10018640612340318,0.04156395100850143
med_10,0.005907332014621768,0.07105962662101531,0.03943083129614461
med_11,0.013082813021924926,0.09645882432494272,0.011888572873184438
med_12,0.009299773019924589,0.10189030752224906,0.0506118588419341
med_13,0.03802639560054576,0.11888733263303226,0.061968883191897015
med_14,0.027721195470837897,0.11709827316941099,0.07870722462788768
med_15,0.02930424330343343,0.12196346120259136,0.07502975276634889
med_16,0.026877403551369472,0.1367225076474708,0.053459281934246164
fm_cnt_12,0.11195456863727304,0.02924679320766125,-0.014621131009117974
fm_cnt_07,0.11207240792245954,0.019119700124673907,-0.014639542435538288
lnd_acr_12,0.08972899569080703,-0.045344600534839734,0.11168277651254016
lnd_acr_07,0.08752888467260092,-0.05178118187782422,0.1075081521639875
avg_acr_12,-0.01800789604199722,-0.0748321686133612,0.10597798345906129
avg_acr_07,-0.017923721358961725,-0.061853338639170787,0.08672118425241643
lnd_val_12,0.11220556514225746,0.017241812402674944,-0.024730642087677324
lnd_val_07,0.11360237584245574,0.019677639305465015,-0.016736795142223183
k_12,0.0935259447918648,0.002420508143287613,0.08436529947785489
k_07,0.10229199763562838,0.003505994761394646,0.0674534449247235
avg_fm_12,-0.015301526363621138,-0.0328249771931599,0.10317434671829108
avg_fm_07,-0.016915790804921876,-0.03496344622170265,0.07600426132485337
avg_usd_12,0.004301372485948787,0.13687700756117177,-0.01598956141609562
avg_usd_07,0.004345386210899788,0.14227551138218533,-0.03316539164207863
fm_val_049_12,0.09141117460406756,-0.020659128491342438,0.026905447678059156
fm_val_050_12,0.0960945552628126,-0.03792860824944092,0.007034104244763816
fm_val_100_12,0.1088973825121881,-0.013739816186412285,-0.02612014230627413
fm_val_200_12,0.1081497804757658,0.01703509446802183,-0.05104918202622416
fm_val_500_12,0.10140634141594684,0.06483512616073014,-0.028376218010805882
fm_val_01k_12,0.0853637299855636,0.0497551497979267,-0.006098517995655922
fm_val_02k_12,0.07816350050295552,0.029958583747263033,0.08414157573730509
fm_val_05k_12,0.029421027854721598,-0.03445258228494598,0.13828862990904037
fm_val_10k_12,-0.021671149765644805,-0.010384654667256828,0.08710472942014619
lnd_apx_12,0.05913449207226188,0.028047250695292864,0.09526077858121458
lnd_pct_12,0.05688260950882529,-0.08617326043752487,0.05589296823959532
sz_fm_009_12,0.08309989947922251,0.07765504264446253,-0.016789398100959207
sz_acr_009_12,0.05267327786026999,0.05788776562392619,0.018469868234582063
sz_fm_010_12,0.10273950221817685,0.04042486024548379,-0.03422639143734894
sz_acr_010_12,0.08370470103527244,0.043904602600978546,-0.04114200098269822
sz_fm_050_12,0.10918331878907447,0.008368131106765646,-0.0402829865505039
sz_acr_050_12,0.10882660691702847,0.006140482400806283,-0.04240739346205585
sz_fm_070_12,0.10237960199149737,-0.017493158541617964,-0.042837840258457986
sz_acr_070_12,0.10964339205001092,-0.004448502227263984,-0.04280273976956363
sz_fm_100_12,0.1078040869265184,0.007069091888901007,-0.026447954605932376
sz_acr_100_12,0.10791300585801253,-0.014236383159857417,-0.0396627647937074
sz_fm_140_12,0.1097158525660594,-0.004991646586652514,-0.029020846360682973
sz_acr_140_12,0.10785357800911013,-0.021253986511687712,-0.035346977772579356
sz_fm_180_12,0.09921456109886691,-0.02773013812173566,-0.04297784579165532
sz_acr_180_12,0.09398726487878735,-0.020487535970923742,-0.03553167737682169
sz_fm_220_12,0.10132009450403043,-0.03419717670992301,-0.03402050477903273
sz_acr_220_12,0.09576795444507097,-0.03557178005446107,-0.039312595797569114
sz_fm_260_12,0.09726671917004315,-0.03218261326684058,-0.018392974079933507
sz_acr_260_12,0.09862832339802687,-0.04391501731282953,-0.017117628126429425
sz_fm_500_12,0.07743820462232348,-0.05420275169631478,0.05038940336339322
sz_acr_500_12,0.07555791558521811,-0.04833738949295362,0.061166042406313674
sz_fm_01k_12,0.04233601137571389,-0.015842457523949773,0.13182872586233874
sz_acr_01k_12,0.03428872769795189,-0.030514073044480994,0.10572313008055684
sz_fm_02k_12,-0.016111562177070226,-0.017788716977186758,0.12323515154165489
sz_acr_02k_12,-0.017963069808701944,-0.01858901811897372,0.08518536234963213
sz_fm_009_07,0.08439214293010514,0.08704752053899965,-0.020712247405094947
sz_acr_009_07,0.0592938561150402,0.09773478538446827,-0.015855615006678085
sz_fm_010_07,0.10176755613793508,0.04274505493039907,-0.028014257555988072
sz_acr_010_07,0.1023899597376203,0.036972451899067865,-0.025464409354391312
sz_fm_050_07,0.10524495887151879,0.01243518777361288,-0.006766376430160537
sz_acr_050_07,0.10787018715400087,0.011250182713518103,-0.0059270472764365815
sz_fm_070_07,0.110757868819388,0.0056462124161059,-0.005918402468764922
sz_acr_070_07,0.1048271013472101,-0.0003293311959801104,-0.0047464694754365214
sz_fm_100_07,0.11090949416464153,-0.012470089507616347,-0.030456247021710126
sz_acr_100_07,0.10647476472999554,-0.005226901677321918,-0.029109680868159113
sz_fm_140_07,0.10764023889004687,-0.009834996172123172,-0.030718222596021846
sz_acr_140_07,0.10284905648319632,-0.02532407461635607,-0.04150658869097066
sz_fm_180_07,0.0972110730822638,-0.023342124283536735,-0.01206255044049312
sz_acr_180_07,0.101094481718942,-0.024390082358464862,-0.017692180110684734
sz_fm_220_07,0.09706408220002408,-0.018493695083774464,-0.012543085235903691
sz_acr_220_07,0.07791638174551788,-0.035532380230824154,-0.04198187141186632
sz_fm_260_07,0.09972053286689214,-0.03795600606818591,-0.02738189217143763
sz_acr_260_07,0.10155794111901954,-0.025450155440236426,-0.019855433619472014
sz_fm_500_07,0.08084942093535354,-0.04180212545870023,0.07544519527308167
sz_acr_500_07,0.07797199561526437,-0.05421715532722215,0.07626399143797515
sz_fm_01k_07,0.029254541546162315,-0.05408934385774212,0.1480561740791937
sz_acr_01k_07,0.004375763740824844,-0.02555363381456777,0.13187620532910532
sz_fm_02k_07,-0.003311115757271444,-0.03295199475006224,0.10449548418184333
sz_acr_02k_07,0.002859606855727413,-0.029711915076000708,0.06465293520662405
cp_fm_12,0.10051418625703182,0.0023082639781389774,-0.018900049978518484
cp_fm_07,0.10883727213974695,0.027276340641525117,-0.0030842027497929463
cp_acr_12,0.04608404162381838,-0.060138949320729024,0.17089857583071288
cp_acr_07,0.0513483451028585,-0.06786858207558591,0.15927043562482662
cp_hvt_fm_12,0.10670461174628539,0.024682206121588075,-0.03288314350341234
cp_hvt_fm_07,0.1005084546245864,0.008662350037149201,-0.03920316679431375
cp_hvt_acr_12,0.040679581194533465,-0.05220170317807949,0.16865145363668632
cp_hvt_acr_07,0.037806639506224815,-0.06254477169458375,0.16799257739455867
cp_gz_fm_12,0.10419328238638093,-0.006486658841329919,-0.032292451270695625
cp_gz_fm_07x,0.10953206241767655,0.027410747301759585,-0.037163067914831496
cp_gz_acr_12,0.0774076612312098,-0.035609274153521976,0.031775670665538026
cp_gz_acr_07x,0.10413884101534547,-0.022070769031411107,-0.0020834411265124183
cp_ot_fm_12,0.0761175782802301,-0.058821463863140494,0.09661476292454704
cp_ot_fm_07,0.07886542808164859,-0.038668323493347624,0.10686857578050021
cp_ot_acr_12,0.042866453162948966,-0.07635001517622152,0.14335784596006065
cp_ot_acr_07,0.03923314131944731,-0.07258410315965919,0.15355412286756479
cp_id_fm_12,0.07005639878429509,-0.04854687649043544,0.11634854199352451
cp_id_fm_07,0.06747049188802849,-0.05347851728966279,0.12927891912458936
cp_id_acr_12,0.03625851819854247,-0.058431901832987375,0.15224758393182558
cp_id_acr_07,0.035917093962605944,-0.06211134318022817,0.15695495126125575
cp_fl_fm_12,0.09010651123128186,0.009341427899161056,-0.026065871814783384
cp_fl_fm_07,0.09378601702994782,-0.0014548794925547223,0.006682167050116689
cp_fl_acr_12,0.04450000356977234,-0.0401786703173233,-0.00485388747428338
cp_fl_acr_07,0.035765729977913004,-0.013779460777875686,0.11856701971747975
cp_sm_fm_12,0.010032565049059698,-0.01704591005291002,-0.06618987784417465
cp_sm_fm_07,0.014401907864928006,0.007079297752975477,-0.005623192347585598
cp_sm_acr_12,-0.01900313420025602,0.020666548869216452,-0.01748332419142665
cp_sm_acr_07,0.003640922956077539,0.025275090532775747,0.0662973139672912
wd_fm_12,0.11024485515450547,0.0038677873191117263,-0.052794805880352534
wd_fm_07,0.11150553098802772,0.018105653351833974,-0.04915573140041809
wd_acr_12,0.09055653814142303,-0.025825862423090696,-0.010106902968124566
wd_acr_07,0.09560635706978642,-0.037876604403128414,-0.025670529978298846
wd_p1_fm_12,0.10040148028430301,0.011561162771189848,-0.0676679608801726
wd_p1_fm_07,0.10490708507659087,0.017273641783653818,-0.061244386258781564
wd_p1_acr_12,0.08951607834912718,-0.012442758043625117,-0.05251440207195928
wd_p1_acr_07,0.0858547940833375,-0.018135550266730395,-0.048925801477994434
wd_p0_fm_12,0.1036001606773837,0.01291564658209029,-0.031045896301248675
wd_p0_fm_07,0.10458861528559518,0.0002912531823967788,-0.03224394273002808
wd_p0_acr_12,0.06466610144827209,-0.04199040579018478,0.01982346635441
wd_p0_acr_07,0.06834751249803746,-0.054528078275229076,0.003420218230577428
ps_rg_fm_12,0.10613347493745316,0.03442431271448853,-0.05147185967725045
ps_rg_fm_07,0.10782473262673524,0.025589414032965503,-0.05773192945921955
ps_rg_acr_12,0.10556440290425789,-0.008787713731774886,-0.052095478371115465
ps_rg_acr_07,0.1023069293993664,-0.013669530682880474,-0.04481874105841041
bdg_fm_12,0.11351428303052037,0.011397873096036548,-0.03612547474139699
bdg_fm_07,0.11263618293770705,0.017578610414988604,-0.02628221855751938
bdg_acr_12,0.11219479369760273,-0.01781188071232296,0.020295493627879913
bdg_acr_07,0.09476152531324886,-0.010778878051860738,0.05107264780094895
pst_fm_12,0.09914858105710389,0.012540089025428407,-0.05864062440779579
pst_fm_07,0.10631309619417333,0.02776824355905415,-0.046747986098846304
pst_acr_12,0.1037399847412165,-0.016775826972256075,-0.050096566333157004
pst_acr_07,0.10594685969752196,-0.012935357999668884,-0.04237867679179489
cnv_fm_12,0.013293788824253805,-0.06381158456324455,0.13410894469116547
cnv_fm_07,-0.0015393117474812466,-0.010326334747233382,0.11234584299834804
cnv_acr_12,-0.0035631294158630796,-0.07337810201757018,0.11625443571631122
cnv_acr_07,0.007073847686953648,-0.05889365112899033,0.12191397825395556
ins_fm_12,0.042652569357907406,-0.051834524820505955,0.15074093109771894
ins_fm_07,0.03570710868915394,-0.06380661219460797,0.13537197448983807
ins_acr_12,0.004843651061050962,-0.05456782509080179,0.16828981105810245
ins_acr_07,0.005386469911899352,-0.0415776610097329,0.17465459682625067
cp_ot_fm_02,0.08483218973589694,-0.02713718948507958,0.06618531706547225
cp_ot_acr_02,0.03990498222277687,-0.06772337152923619,0.14275220990212192
cp_id_fm_02,0.07107264419465405,-0.035114021029451,0.060098469490790375
cp_id_acr_02,0.029875811026493938,-0.07301836139272365,0.12907343336209087
cp_fl_fm_02,0.07690197241017833,0.034070556253541176,0.011347234891636733
cp_fl_acr_02,0.011945638958985457,-0.026288180136906307,0.09776821339573231
cp_sm_fm_02,0.0011110292756139602,-0.00023861310422877832,0.02826300163157227
cp_sm_acr_02,0.00609048293594791,-0.0047962982560723665,0.0475946749262809
wd_fm_02,0.08535009307259149,-0.0008635387112925718,-0.041435307945738985
wd_acr_02,0.08410227645519451,-0.032158327945870806,-0.02208565196896481
wd_p1_fm_02,0.10170103416378243,0.01078176510447292,-0.06913586804582908
wd_p1_acr_02,0.09069132402190715,-0.013339183135941245,-0.044289544409530715
