,zipcode,primary_city,acceptable_cities,unacceptable_cities,county,latitude,longitude
16550,37806,mascot,,,knox,36.08,-83.73
16551,37807,maynardville,,,union,36.24,-83.8
16552,37809,midway,,,greene,36.16,-83.04
16553,37810,mohawk,,,greene,36.18,-83.12
16554,37811,mooresburg,,,hawkins,36.34,-83.22
16555,37813,morristown,,,hamblen,36.21,-83.29
16556,37814,morristown,,,hamblen,36.23,-83.34
16557,37815,morristown,,,hamblen,36.21,-83.29
16558,37816,morristown,,,hamblen,36.21,-83.29
16559,37818,mosheim,,,greene,36.19,-82.95
16560,37819,newcomb,,,campbell,36.54,-84.2
16561,37820,new_market,,,jefferson,36.09,-83.55
16562,37821,newport,,,cocke,35.96,-83.19
16563,37822,newport,,,cocke,35.96,-83.19
16564,37824,new_tazewell,,,claiborne,36.43,-83.6
16565,37825,new_tazewell,,,claiborne,36.43,-83.6
16566,37826,niota,,,mcminn,35.51,-84.54
16567,37828,norris,,,anderson,36.21,-84.06
16568,37829,oakdale,,,morgan,36.01,-84.64
16569,37830,oak_ridge,,,anderson,35.96,-84.29
16570,37831,oak_ridge,,,anderson,35.96,-84.29
16571,37840,oliver_springs,Oliver Spgs,,roane,36.03,-84.32
16572,37841,oneida,,,scott,36.5,-84.51
16573,37843,parrottsville,,,cocke,36.0,-83.09
16574,37845,petros,,,morgan,36.09,-84.44
16575,37846,philadelphia,,,loudon,35.67,-84.4
16576,37847,pioneer,,,scott,36.46,-84.29
16577,37848,powder_springs,Powder Spgs,Washburn,grainger,36.24,-83.66
16578,37849,powell,,,knox,36.03,-84.02
16579,37851,pruden,,,claiborne,36.58,-83.91
16580,37852,robbins,,Glen Mary,scott,36.32,-84.57
16581,37853,rockford,,,blount,35.82,-83.93
16582,37854,rockwood,Ozone,Westel,roane,35.87,-84.67
16583,37857,rogersville,,,hawkins,36.4,-83.0
16584,37860,russellville,,,hamblen,36.25,-83.19
16585,37861,rutledge,,,grainger,36.27,-83.52
16586,37862,sevierville,Pigeon Forge,,sevier,35.78,-83.61
16587,37863,pigeon_forge,Sevierville,,sevier,35.79,-83.55
16588,37864,sevierville,Pigeon Forge,,sevier,35.89,-83.57
16589,37865,seymour,,,sevier,35.87,-83.77
16590,37866,sharps_chapel,,,union,36.34,-83.8
16591,37867,shawanee,,Harrogate,claiborne,36.57,-83.55
16592,37868,pigeon_forge,Sevierville,,sevier,35.79,-83.55
16593,37869,sneedville,,,hancock,36.53,-83.21
16594,37870,speedwell,,,claiborne,36.47,-83.81
16595,37871,strawberry_plains,Straw Plains,,jefferson,36.06,-83.68
16596,37872,sunbright,,Burrville,morgan,36.24,-84.67
16597,37873,surgoinsville,,,hawkins,36.47,-82.85
16598,37874,sweetwater,,,monroe,35.6,-84.46
16599,37876,sevierville,"Pigeon Forge, Pittman Center, Pittman Ctr",,sevier,35.89,-83.57
16600,37877,talbott,,,hamblen,36.14,-83.4
16601,37878,tallassee,,Happy Valley,blount,35.62,-83.89
16602,37879,tazewell,,,claiborne,36.45,-83.57
16603,37880,ten_mile,,,meigs,35.66,-84.66
16604,37881,thorn_hill,Treadway,,grainger,36.35,-83.41
16605,37882,townsend,,,blount,35.67,-83.75
16606,37885,vonore,,,monroe,35.59,-84.23
16607,37886,walland,,,blount,35.72,-83.81
16608,37887,wartburg,,,morgan,36.1,-84.58
16609,37888,washburn,,,grainger,36.31,-83.59
16610,37890,white_pine,Baneberry,,jefferson,36.09,-83.29
16611,37891,whitesburg,,,hamblen,36.29,-83.13
16612,37892,winfield,,,scott,36.56,-84.45
16613,37901,knoxville,,Knox,knox,35.97,-83.94
16614,37902,knoxville,,,knox,35.96,-83.92
16615,37909,knoxville,,,knox,35.95,-84.02
16616,37912,knoxville,,,knox,36.01,-83.98
16617,37914,knoxville,,,knox,35.98,-83.8
16618,37915,knoxville,,,knox,35.97,-83.9
16619,37916,knoxville,,,knox,35.95,-83.93
16620,37917,knoxville,,,knox,36.0,-83.91
16621,37918,knoxville,,,knox,36.06,-83.92
16622,37919,knoxville,,,knox,35.91,-84.0
16623,37920,knoxville,"Kimberlin Heights, Kimberlin Hgt",,knox,35.91,-83.87
16624,37921,knoxville,Karns,,knox,35.97,-83.94
16625,37922,knoxville,"Concord, Concord Farr, Concord Farragut",Farragut,knox,35.86,-84.1
16626,37923,knoxville,,,knox,35.93,-84.08
16627,37924,knoxville,,,knox,36.03,-83.8
16628,37927,knoxville,,,knox,35.97,-83.94
16629,37928,knoxville,,,knox,35.97,-83.94
16630,37929,knoxville,,Plaza Tower,knox,35.97,-83.94
16631,37930,knoxville,,,knox,35.97,-83.94
16632,37931,knoxville,,,knox,35.98,-84.13
16633,37932,knoxville,,,knox,35.92,-84.2
16634,37933,knoxville,Farragut,Concord Farragut,knox,35.97,-83.94
16635,37934,knoxville,"Concord, Farragut","Concord Farr, Concord Farragut, Knox, Knx, Kville",knox,35.87,-84.17
16636,37938,knoxville,,,knox,36.12,-83.94
16637,37939,knoxville,,,knox,35.97,-83.94
16638,37940,knoxville,,,knox,35.97,-83.94
16639,37950,knoxville,,,knox,35.97,-83.94
16640,37990,knoxville,,The Mail Box,knox,35.86,-84.12
16641,37995,knoxville,,1st Tennessee Bank,knox,35.97,-83.94
16642,37996,knoxville,,University Of Tenn,knox,35.97,-83.94
16643,37997,knoxville,,Suntrust Bank,knox,35.97,-83.94
16644,37998,knoxville,,Johnson Bible College,knox,35.97,-83.94
16645,38001,alamo,,,crockett,35.78,-89.11
16646,38002,arlington,Lakeland,,shelby,35.28,-89.66
16647,38004,atoka,,Crosstown,tipton,35.44,-89.77
16648,38006,bells,,,crockett,35.71,-89.08
16649,38007,bogota,,,dyer,36.16,-89.43
16650,38008,bolivar,,,hardeman,35.26,-88.99
16651,38010,braden,,,fayette,35.36,-89.57
16652,38011,brighton,,,tipton,35.47,-89.73
16653,38012,brownsville,,,haywood,35.59,-89.25
16654,38014,brunswick,,,shelby,35.28,-89.72
16655,38015,burlison,Gilt Edge,Randolph,tipton,35.55,-89.78
16656,38016,cordova,,,shelby,35.18,-89.76
16657,38017,collierville,"Fisherville, Piperton",,shelby,35.05,-89.67
16658,38018,cordova,,,shelby,35.15,-89.75
16659,38019,covington,Garland,,tipton,35.56,-89.64
16660,38021,crockett_mills,Crockett Mls,,crockett,35.88,-89.16
16661,38023,drummonds,,,tipton,35.46,-89.94
16662,38024,dyersburg,,,dyer,36.03,-89.38
16663,38025,dyersburg,,,dyer,36.03,-89.38
16664,38027,collierville,,"Colliervl, Colliervle, Fisherville, Piperton",shelby,35.05,-89.67
16665,38028,eads,,,fayette,35.2,-89.66
16666,38029,ellendale,,,shelby,35.24,-89.82
16667,38030,finley,,,dyer,35.98,-89.58
16668,38034,friendship,,,crockett,35.91,-89.24
16669,38036,gallaway,,,fayette,35.32,-89.63
16670,38037,gates,,,lauderdale,35.83,-89.4
16671,38039,grand_junction,Grand Jct,,hardeman,35.04,-89.18
16672,38040,halls,,,lauderdale,35.88,-89.4
16673,38041,henning,Fort Pillow,,lauderdale,35.67,-89.57
16674,38042,hickory_valley,Hickory Vly,,hardeman,35.15,-89.12
16675,38044,hornsby,,,hardeman,35.22,-88.83
16676,38045,laconia,,,fayette,35.31,-89.23
16677,38046,la_grange,,,fayette,35.07,-89.25
16678,38047,lenox,,,dyer,36.09,-89.5
16679,38048,macon,,,fayette,35.17,-89.54
16680,38049,mason,,,tipton,35.41,-89.53
16681,38050,maury_city,,,crockett,35.83,-89.23
16682,38052,middleton,,,hardeman,35.06,-88.89
16683,38053,millington,,"Barretville, Cloverdale, Cuba, Dixonville, East Acres, Kerrville, Locke, Lucy, Quito, Rosemark, Wilkinsville, Woodstock",shelby,35.33,-89.88
16684,38054,millington,,Naval Hospital,shelby,35.34,-89.87
16685,38055,millington,,Naval Personel Commnd,shelby,35.33,-89.88
16686,38057,moscow,Williston,,fayette,35.06,-89.39
16687,38058,munford,,,tipton,35.44,-89.8
16688,38059,newbern,,,dyer,36.11,-89.26
16689,38060,oakland,Somerville,,fayette,35.22,-89.51
16690,38061,pocahontas,,Essary Springs,hardeman,35.05,-88.81
16691,38063,ripley,,,lauderdale,35.74,-89.53
16692,38066,rossville,Williston,,fayette,35.04,-89.54
16693,38067,saulsbury,,,hardeman,35.04,-89.08
16694,38068,somerville,Mason,,fayette,35.23,-89.35
16695,38069,stanton,,,haywood,35.46,-89.4
16696,38070,tigrett,,,dyer,35.94,-89.24
16697,38071,tipton,,,tipton,35.46,-89.97
16698,38075,whiteville,Somerville,,hardeman,35.32,-89.14
16699,38076,williston,"Moscow, Oakland, Rossville",,fayette,35.14,-89.44
16700,38077,wynnburg,,,lake,36.33,-89.47
16701,38079,tiptonville,,,lake,36.37,-89.47
16702,38080,ridgely,Miston,,lake,36.26,-89.48
16703,38083,millington,,Millingtn,shelby,35.33,-89.88
16704,38088,cordova,,,shelby,35.15,-89.75
16705,38101,memphis,,,shelby,35.1,-90.0
16706,38103,memphis,,,shelby,35.15,-90.05
16707,38104,memphis,,"Mem, Mphs",shelby,35.13,-90.0
16708,38105,memphis,,"Mem, Mphs",shelby,35.15,-90.03
16709,38106,memphis,,"Mem, Mphs",shelby,35.1,-90.09
16710,38107,memphis,,"Mem, Mphs",shelby,35.17,-90.02
16711,38108,memphis,,"Mem, Mphs",shelby,35.18,-89.97
16712,38109,memphis,,"Mem, Mphs",shelby,35.04,-90.16
16713,38110,memphis,,"Mem, I R S, Mphs",shelby,35.05,-89.94
16714,38111,memphis,,"Mem, Mphs",shelby,35.11,-89.94
16715,38112,memphis,,"Mem, Mphs",shelby,35.15,-89.98
16716,38113,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16717,38114,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16718,38115,memphis,Hickory Hill,"Mem, Mphs",shelby,35.05,-89.86
16719,38116,memphis,,"Mem, Mphs",shelby,35.03,-90.01
16720,38117,memphis,,"Mem, Mphs",shelby,35.12,-89.91
16721,38118,memphis,,"Mem, Mphs",shelby,35.03,-89.93
16722,38119,memphis,,"Mem, Mphs",shelby,35.08,-89.85
16723,38120,memphis,,"Mem, Mphs",shelby,35.12,-89.85
16724,38122,memphis,,"Mem, Mphs",shelby,35.16,-89.92
16725,38124,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16726,38125,memphis,Hickory Hill,"Mem, Mphs",shelby,35.03,-89.79
16727,38126,memphis,,"Mem, Mphs",shelby,35.13,-90.04
16728,38127,memphis,,"Mem, Mphs",shelby,35.24,-90.02
16729,38128,memphis,,"Mem, Mphs",shelby,35.22,-89.93
16730,38130,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16731,38131,memphis,,,shelby,35.07,-89.99
16732,38132,memphis,,"Mem, Mphs",shelby,35.07,-89.99
16733,38133,memphis,Bartlett,"Mem, Mphs",shelby,35.21,-89.79
16734,38134,memphis,Bartlett,"Mem, Mphs",shelby,35.17,-89.86
16735,38135,memphis,Bartlett,"Mem, Mphs",shelby,35.24,-89.85
16736,38136,memphis,,"Mem, Memphis Networks Dist Ctr, Mphs",shelby,35.1,-90.0
16737,38137,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16738,38138,germantown,Memphis,"Mem, Mphs",shelby,35.08,-89.79
16739,38139,germantown,Memphis,"Mem, Mphs",shelby,35.08,-89.76
16740,38141,memphis,,"Mem, Mphs",shelby,35.02,-89.86
16741,38142,memphis,,"Mphs, Credit Card Service Center, Mem",shelby,35.14,-90.04
16742,38145,memphis,,"Mem, Memphis Light Gas And Water, Mphs",shelby,35.1,-90.0
16743,38147,memphis,,"Mem, Mphs, Regions Bank",shelby,35.1,-90.0
16744,38148,memphis,,"First Tenn National Bank, Mem, Mphs",shelby,35.1,-90.0
16745,38150,memphis,,"Mem, Mphs, Suntrust Bank",shelby,35.1,-90.0
16746,38151,memphis,,"Mem, Mphs, Schering Plough Inc",shelby,35.1,-90.0
16747,38152,memphis,,"Mem, Mphs, University Of Memphis",shelby,35.12,-89.93
16748,38157,memphis,,,shelby,35.1,-90.0
16749,38159,memphis,,Regions Bank,shelby,35.1,-90.0
16750,38161,memphis,,Us Postal Inspect Srvc,shelby,35.1,-90.0
16751,38163,memphis,,"Univ Of Tn, University Of Tn",shelby,35.1,-90.0
16752,38165,memphis,,Memphis Rcsc,shelby,35.14,-90.04
16753,38166,memphis,,Southeast Area,shelby,35.1,-90.0
16754,38167,memphis,,,shelby,35.1,-90.0
16755,38168,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16756,38173,memphis,,Mem,shelby,35.1,-90.0
16757,38174,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16758,38175,memphis,,,shelby,35.1,-90.0
16759,38177,memphis,,,shelby,35.1,-90.0
16760,38181,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16761,38182,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16762,38183,germantown,,Memphis,shelby,35.08,-89.79
16763,38184,memphis,Bartlett,"Mem, Mphs",shelby,35.1,-90.0
16764,38186,memphis,,,shelby,35.1,-90.0
16765,38187,memphis,,"Mem, Mphs",shelby,35.1,-90.0
16766,38188,memphis,,Natl Customer Support Ctr,shelby,35.1,-90.0
16767,38190,memphis,,,shelby,35.1,-90.0
16768,38193,memphis,,Sharp Electronic Manufac,shelby,35.1,-90.0
16769,38194,memphis,,Federal Express,shelby,35.1,-90.0
16770,38197,memphis,,International Paper Co,shelby,35.1,-90.0
16771,38201,mc_kenzie,,,carroll,36.13,-88.51
16772,38220,atwood,,,carroll,35.97,-88.67
16773,38221,big_sandy,,,benton,36.23,-88.08
16774,38222,buchanan,,,henry,36.42,-88.17
16775,38223,como,,,henry,36.28,-88.5
16776,38224,cottage_grove,,,henry,36.37,-88.47
16777,38225,dresden,,,weakley,36.27,-88.69
16778,38226,dukedom,,,weakley,36.47,-88.66
16779,38227,elbridge,,,obion,36.26,-89.32
16780,38229,gleason,,,weakley,36.21,-88.61
16781,38230,greenfield,,,weakley,36.15,-88.8
16782,38231,henry,,,henry,36.2,-88.41
16783,38232,hornbeak,,,obion,36.33,-89.29
16784,38233,kenton,,Masonhall,gibson,36.19,-89.01
16785,38235,mc_lemoresville,Mc Lemoresvle,Mclemoresville,carroll,35.99,-88.56
16786,38236,mansfield,,,henry,36.18,-88.28
16787,38237,martin,,,weakley,36.34,-88.85
16788,38238,martin,,University Of Tn,weakley,36.34,-88.85
16789,38240,obion,,,obion,36.26,-89.19
16790,38241,palmersville,,,weakley,36.41,-88.58
16791,38242,paris,,,henry,36.3,-88.3
16792,38251,puryear,,,henry,36.44,-88.33
16793,38253,rives,,,obion,36.35,-89.04
16794,38254,samburg,,,obion,36.38,-89.35
16795,38255,sharon,,,weakley,36.23,-88.82
16796,38256,springville,,,henry,36.25,-88.15
16797,38257,south_fulton,,,obion,36.49,-88.88
16798,38258,trezevant,,,carroll,36.01,-88.62
16799,38259,trimble,,,dyer,36.2,-89.18
16800,38260,troy,,,obion,36.33,-89.16
16801,38261,union_city,,,obion,36.42,-89.05
16802,38271,woodland_mills,Woodland Mls,,obion,36.47,-89.11
16803,38281,union_city,,"Union Cty, Union Cy",obion,36.42,-89.05
16804,38301,jackson,,,madison,35.63,-88.82
16805,38302,jackson,,,madison,35.63,-88.82
16806,38303,jackson,,,madison,35.63,-88.82
16807,38305,jackson,,,madison,35.7,-88.77
16808,38308,jackson,,,madison,35.63,-88.82
16809,38310,adamsville,,,mcnairy,35.23,-88.38
16810,38311,bath_springs,,,decatur,35.44,-88.1
16811,38313,beech_bluff,,,madison,35.6,-88.63
16812,38314,jackson,,Bemis,madison,35.63,-88.82
16813,38315,bethel_springs,Bethel Spgs,,mcnairy,35.23,-88.6
16814,38316,bradford,,,gibson,36.07,-88.81
16815,38317,bruceton,,,carroll,36.03,-88.24
16816,38318,buena_vista,,,carroll,35.98,-88.28
16817,38320,camden,,,benton,36.06,-88.1
16818,38321,cedar_grove,,,carroll,35.81,-88.6
16819,38324,clarksburg,,,carroll,35.87,-88.38
16820,38326,counce,,,hardin,35.03,-88.29
16821,38327,crump,,,hardin,35.23,-88.32
16822,38328,darden,,,henderson,35.63,-88.23
16823,38329,decaturville,,,decatur,35.58,-88.11
16824,38330,dyer,,,gibson,36.07,-88.99
16825,38331,eaton,,,gibson,35.96,-89.13
16826,38332,enville,,,chester,35.38,-88.42
16827,38333,eva,,,benton,36.11,-87.99
16828,38334,finger,,,mcnairy,35.35,-88.61
16829,38336,fruitvale,,,crockett,35.72,-89.06
16830,38337,gadsden,,,crockett,35.79,-89.01
16831,38338,gibson,,,gibson,35.87,-88.84
16832,38339,guys,,,mcnairy,35.05,-88.52
16833,38340,henderson,,,chester,35.44,-88.64
16834,38341,holladay,,,benton,35.89,-88.07
16835,38342,hollow_rock,,,carroll,36.03,-88.27
16836,38343,humboldt,Three Way,,gibson,35.82,-88.9
16837,38344,huntingdon,,Leach,carroll,36.0,-88.41
16838,38345,huron,,,henderson,35.58,-88.5
16839,38346,idlewild,,,gibson,35.98,-88.77
16840,38347,jacks_creek,,,chester,35.48,-88.5
16841,38348,lavinia,,,carroll,35.86,-88.64
16842,38351,lexington,,,henderson,35.65,-88.39
16843,38352,luray,,,chester,35.53,-88.53
16844,38355,medina,,,gibson,35.8,-88.77
16845,38356,medon,,,madison,35.45,-88.86
16846,38357,michie,,,mcnairy,35.06,-88.42
16847,38358,milan,,Milan Army Ammunition Plant,gibson,35.91,-88.75
16848,38359,milledgeville,,,mcnairy,35.37,-88.36
16849,38361,morris_chapel,,,hardin,35.31,-88.35
16850,38362,oakfield,,,madison,35.73,-88.78
16851,38363,parsons,,,decatur,35.65,-88.12
16852,38365,pickwick_dam,,,hardin,35.05,-88.23
16853,38366,pinson,,,madison,35.47,-88.73
16854,38367,ramer,Eastview,,mcnairy,35.07,-88.61
16855,38368,reagan,,,henderson,35.51,-88.35
16856,38369,rutherford,,,gibson,36.12,-88.99
16857,38370,saltillo,,,hardin,35.37,-88.21
16858,38371,sardis,,,henderson,35.44,-88.29
16859,38372,savannah,,,hardin,35.22,-88.23
16860,38374,scotts_hill,,,henderson,35.51,-88.23
16861,38375,selmer,,Lawton,mcnairy,35.17,-88.59
16862,38376,shiloh,,,hardin,35.11,-88.36
16863,38377,silerton,,,hardeman,35.34,-88.8
16864,38378,spring_creek,,,madison,35.76,-88.68
16865,38379,stantonville,,,mcnairy,35.15,-88.42
16866,38380,sugar_tree,,,decatur,35.79,-88.02
16867,38381,toone,,,hardeman,35.35,-88.95
16868,38382,trenton,,,gibson,35.97,-88.93
16869,38387,westport,,,carroll,35.88,-88.29
16870,38388,wildersville,"Parker Crossroads, Parker Xroads",,henderson,35.78,-88.36
16871,38389,yorkville,,,gibson,36.09,-89.11
16872,38390,yuma,,,carroll,35.86,-88.37
16873,38391,denmark,,,madison,35.54,-88.97
16874,38392,mercer,,,madison,35.48,-89.03
16875,38393,chewalla,,,mcnairy,35.02,-88.67
16876,38401,columbia,,,maury,35.62,-87.04
16877,38402,columbia,,,maury,35.62,-87.04
16878,38425,clifton,,,wayne,35.38,-87.99
16879,38449,ardmore,,Dellrose,giles,35.04,-86.82
16880,38450,collinwood,,,wayne,35.17,-87.74
16881,38451,culleoka,,,maury,35.46,-86.99
16882,38452,cypress_inn,,,wayne,35.05,-87.79
16883,38453,dellrose,,Ardmore,lincoln,35.11,-86.8
16884,38454,duck_river,,,hickman,35.71,-87.35
16885,38455,elkton,,,giles,35.04,-86.89
16886,38456,ethridge,,,lawrence,35.32,-87.3
16887,38457,five_points,,,lawrence,35.03,-87.28
16888,38459,frankewing,,,lincoln,35.19,-86.8
16889,38460,goodspring,,,giles,35.12,-87.14
16890,38461,hampshire,,,maury,35.58,-87.35
16891,38462,hohenwald,Kimmins,,lewis,35.55,-87.55
16892,38463,iron_city,,,wayne,35.02,-87.58
16893,38464,lawrenceburg,,,lawrence,35.24,-87.33
16894,38468,leoma,,,lawrence,35.12,-87.3
16895,38469,loretto,,,lawrence,35.08,-87.43
16896,38471,lutts,,,wayne,35.11,-87.9
16897,38472,lynnville,,,giles,35.37,-87.0
16898,38473,minor_hill,,,giles,35.03,-87.17
16899,38474,mount_pleasant,Mt Pleasant,,maury,35.55,-87.19
16900,38475,olivehill,,,hardin,35.26,-88.04
16901,38476,primm_springs,,,williamson,35.8,-87.25
16902,38477,prospect,,,giles,35.05,-87.0
16903,38478,pulaski,,,giles,35.19,-87.03
16904,38481,saint_joseph,,St Joseph,lawrence,35.03,-87.49
16905,38482,santa_fe,,,maury,35.75,-87.16
16906,38483,summertown,,,lawrence,35.43,-87.33
16907,38485,waynesboro,,,wayne,35.32,-87.75
16908,38486,westpoint,,,lawrence,35.15,-87.53
16909,38487,williamsport,,,maury,35.72,-87.23
16910,38488,taft,,,lincoln,35.05,-86.68
16911,38501,cookeville,Algood,,putnam,36.15,-85.5
16912,38502,cookeville,,,putnam,36.15,-85.5
16913,38503,cookeville,,,putnam,36.15,-85.5
16914,38504,allardt,,,fentress,36.38,-84.88
16915,38505,cookeville,,Tennessee Tech Univ,putnam,36.18,-85.51
16916,38506,cookeville,,"Cookevl, Cookevle",putnam,36.19,-85.43
16917,38541,allons,,,overton,36.51,-85.32
16918,38542,allred,,,overton,36.32,-85.2
16919,38543,alpine,,,overton,36.36,-85.14
16920,38544,baxter,,,putnam,36.15,-85.63
16921,38545,bloomington_springs,Blmngton Spgs,,jackson,36.22,-85.66
16922,38547,brush_creek,,,smith,36.11,-86.01
16923,38548,buffalo_valley,Buffalo Vly,,putnam,36.18,-85.75
16924,38549,byrdstown,,,pickett,36.57,-85.13
16925,38550,campaign,,,warren,35.76,-85.64
16926,38551,celina,,,clay,36.54,-85.5
16927,38552,chestnut_mound,Chestnut Mnd,,smith,36.22,-85.81
16928,38553,clarkrange,,,fentress,36.21,-84.96
16929,38554,crawford,,,overton,36.24,-85.18
16930,38555,crossville,"Fairfield Glade, Fairfld Glde",Fairfield,cumberland,35.95,-85.03
16931,38556,jamestown,,,fentress,36.43,-84.93
16932,38557,crossville,,,cumberland,35.95,-85.03
16933,38558,crossville,,"Crossvl, Crossvle, Fairfield, Fairfield Glade, Fairfld Glade",cumberland,36.01,-84.87
16934,38559,doyle,,,white,35.85,-85.51
16935,38560,elmwood,,,smith,36.24,-85.88
16936,38562,gainesboro,,,jackson,36.36,-85.65
16937,38563,gordonsville,,New Middleton,smith,36.18,-85.93
16938,38564,granville,,,jackson,36.27,-85.74
16939,38565,grimsley,,,fentress,36.25,-85.03
16940,38567,hickman,,,smith,36.1,-85.9
16941,38568,hilham,,,overton,36.44,-85.47
16942,38569,lancaster,,,smith,36.09,-85.85
16943,38570,livingston,,,overton,36.38,-85.32
16944,38571,crossville,,,cumberland,36.05,-85.01
16945,38572,crossville,,,cumberland,35.85,-85.13
16946,38573,monroe,,,overton,36.45,-85.2
16947,38574,monterey,,,putnam,36.13,-85.24
16948,38575,moss,,,clay,36.59,-85.68
16949,38577,pall_mall,,,pickett,36.56,-84.95
16950,38578,pleasant_hill,,,cumberland,35.98,-85.2
16951,38579,quebeck,,,white,35.84,-85.55
16952,38580,rickman,,,overton,36.29,-85.3
16953,38581,rock_island,Bone Cave,,warren,35.71,-85.6
16954,38582,silver_point,,,putnam,36.09,-85.76
16955,38583,sparta,"Ravenscroft, Riverwatch",,white,35.93,-85.47
16956,38585,spencer,,,van_buren,35.74,-85.45
16957,38587,walling,,,white,35.85,-85.62
16958,38588,whitleyville,,,jackson,36.48,-85.7
16959,38589,wilder,,,overton,36.26,-85.08
